config,hypo,universe,action_scale,l2,K,cvar_weight,cvar_alpha,residual_l2,vol_floor,features,stress_power,ensemble,val_cvar,val_dv,val_excess,test_cvar,test_dv,test_excess,test_seed_std
H1_as1.5_vf0.5,H1,slv,1.5,0.001,8,1.0,0.95,0.0,0.5,full,0.0,False,0.0035357261061954863,0.006563300201661867,-0.003027574095466381,0.17531485602265215,0.15494845435326088,0.02036640166939127,0.007270244728651747
H1_as1.5_vf0.25,H1,slv,1.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,-0.006467822899752251,0.006563300201661867,-0.013031123101414119,0.17319336791489956,0.15494845435326088,0.01824491356163868,0.001762093023834971
H1_as1.5_vf0.1,H1,slv,1.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,-0.006291413451717854,0.006563300201661867,-0.012854713653379722,0.17362683465309867,0.15494845435326088,0.018678380299837788,0.0017672573723465665
H1_l20.01,H1,slv,1.5,0.01,8,1.0,0.95,0.0,,full,0.0,False,0.021610137101872106,0.006563300201661867,0.015046836900210239,0.1687607409224979,0.15494845435326088,0.013812286569237026,0.022904090493236648
H1_l20.03,H1,slv,1.5,0.03,8,1.0,0.95,0.0,,full,0.0,False,0.01891733011376616,0.006563300201661867,0.012354029912104292,0.16799145063749876,0.15494845435326088,0.013042996284237884,0.02263375690337204
H1_l20.1,H1,slv,1.5,0.1,8,1.0,0.95,0.0,,full,0.0,False,0.019481237792734914,0.006563300201661867,0.012917937591073047,0.170359300229353,0.15494845435326088,0.015410845876092122,0.019478010664785224
H2_cw1.0_a0.975,H2,slv,1.5,0.001,8,1.0,0.975,0.0,,full,0.0,False,0.014484894289870473,0.006563300201661867,0.007921594088208606,0.19018460659706413,0.15494845435326088,0.03523615224380325,0.009317636687788448
H2_cw1.0_a0.99,H2,slv,1.5,0.001,8,1.0,0.99,0.0,,full,0.0,False,0.05640887014121556,0.006563300201661867,0.04984556993955369,0.23372258970279,0.15494845435326088,0.07877413534952912,0.030408516285722637
H2_cw3.0_a0.95,H2,slv,1.5,0.001,8,3.0,0.95,0.0,,full,0.0,False,0.01197984967137218,0.006563300201661867,0.005416549469710314,0.1934342843091037,0.15494845435326088,0.03848582995584282,0.022177982497067872
H2_cw3.0_a0.975,H2,slv,1.5,0.001,8,3.0,0.975,0.0,,full,0.0,False,0.0049978257018064125,0.006563300201661867,-0.0015654744998554546,0.19615169251597,0.15494845435326088,0.04120323816270913,0.017508818001519183
H2_cw3.0_a0.99,H2,slv,1.5,0.001,8,3.0,0.99,0.0,,full,0.0,False,0.03472924276021869,0.006563300201661867,0.028165942558556818,0.22572557803377183,0.15494845435326088,0.07077712368051095,0.02352587630193034
H2_cw10.0_a0.95,H2,slv,1.5,0.001,8,10.0,0.95,0.0,,full,0.0,False,0.0025383452272009503,0.006563300201661867,-0.004024954974460917,0.17765904789109288,0.15494845435326088,0.022710593537832002,0.012428976029985526
H2_cw10.0_a0.975,H2,slv,1.5,0.001,8,10.0,0.975,0.0,,full,0.0,False,0.00383193089717467,0.006563300201661867,-0.002731369304487197,0.17747144264473366,0.15494845435326088,0.022522988291472784,0.011030949249266913
