seed,model,mean_pnl,median_pnl,std_pnl,var_95,cvar_95,cvar_99,worst,max_drawdown,utility,turnover
7,surface_proto,0.028012652003116444,-0.02901486711358467,0.6791385089303996,0.9848394544418282,1.2979667532131562,1.759236122851377,2.241425588651471,54.19075861855637,-1.2699541012100397,174.6035770165597
7,protohedge_scalar_greeks,-0.13089842265266494,-0.16995033001859033,0.6029899024217155,1.08290989279504,1.3443615597239587,1.7526732109700627,2.4927367509428366,273.48957057848503,-1.4752599823766235,54.031088680703924
8,surface_proto,0.1389207414308241,0.1292851636995876,0.7582907044187788,1.0670969886450232,1.4175608197728635,1.9622327591353337,2.6713135879222056,31.519242624005717,-1.2786400783420393,217.96417265727825
8,protohedge_scalar_greeks,-0.13576651334369608,-0.1774420882254183,0.5820145971060081,1.0468261542973454,1.2628175464317226,1.5560880699795918,2.0951643165032467,284.0851587510472,-1.3985840597754187,60.528107873702
9,surface_proto,0.022391955377920884,-0.02168158219547145,0.6746985329525329,0.9902508083296485,1.3164778046371153,1.7784428863246164,2.164532953718623,53.46854197849367,-1.2940858492591945,181.3900816020383
9,protohedge_scalar_greeks,-0.12555716542663967,-0.15621957200570466,0.5736321604300005,1.041420883701601,1.2583833113929668,1.5208463720742547,2.149372245071757,267.8384203072236,-1.3839404768196064,52.63208803071283
10,surface_proto,0.026703797805066192,-0.017860040808575815,0.6738159809603124,0.9818138283186435,1.296320231094308,1.7444273424893486,2.2654487426111203,58.11237987309791,-1.269616433289242,161.7974585695604
10,protohedge_scalar_greeks,-0.13360218277608665,-0.16766973463788132,0.5812369672228908,1.043716977338863,1.2902703617535858,1.6235123914025733,2.128275781713396,281.9232887486157,-1.4238725445296725,64.39755328043186
11,surface_proto,0.07461280489408045,0.07288840566444921,0.6907107910602753,1.0157333095400307,1.352161995248256,1.8107759315006613,2.5237975846573164,31.191866035720125,-1.2775491903541756,184.8306295152558
11,protohedge_scalar_greeks,-0.12839281568368816,-0.1721732225590872,0.5783569042156919,1.0526140944806952,1.2675739042798877,1.528684102555865,2.2125812848341315,272.8002230972267,-1.395966719963576,55.19410461383619
12,surface_proto,0.0044570694681115314,-0.04937546115299067,0.6624688748660326,0.998628864266583,1.2814723340635077,1.718006173467504,2.1548528660699304,62.71283275685347,-1.277015264595396,160.03255503113778
12,protohedge_scalar_greeks,-0.12835494068877107,-0.15429719710529993,0.5828213737047881,1.0307422499737275,1.302073794498975,1.648260731314639,2.426072346025704,271.4339416722145,-1.4304287351877463,53.59051849005715
13,surface_proto,0.020208795446413838,-0.02745639220695513,0.6596258460197608,0.9756689686753677,1.2965071184888786,1.7795683242040392,2.2283408363895743,52.69526367133167,-1.2762983230424647,178.81803289196796
13,protohedge_scalar_greeks,-0.13113498775240112,-0.1615988585037379,0.5807848945069816,1.0339028466741347,1.2968715951677978,1.6524733511497394,2.437289933967292,275.9117916112409,-1.4280065829201989,55.11789994281659
14,surface_proto,0.013012429961699276,-0.049755988566120415,0.6706442013330495,0.9966885155188102,1.2837222274995708,1.7119789884749115,2.1777890319217508,65.49846410594608,-1.2707097975378714,169.6376358824741
14,protohedge_scalar_greeks,-0.13339812355027536,-0.15358152952129084,0.580560420861457,1.0331737202419664,1.3104163463045164,1.7090451707550172,2.41549033068039,279.46767219257686,-1.4438144698547917,63.693912785461926
15,surface_proto,-0.018067728962861393,-0.07009740615470475,0.6475242216385546,0.9901278895043273,1.2607284258015723,1.694739204028415,2.0461432423645745,78.20431342193648,-1.2787961547644338,171.60192379338375
15,protohedge_scalar_greeks,-0.1348393244982399,-0.16469768168986654,0.5851410614078159,1.0559987677580227,1.2969805222295754,1.604817957117679,2.2122938728230275,282.63527984965725,-1.4318198467278154,67.81382599145662
16,surface_proto,-0.03810898759712326,-0.047322061972504714,0.626335474614365,1.0312127587067617,1.338673276272255,1.82915894817412,2.297375996359231,119.07794796535786,-1.3767822638693783,130.2914273005299
16,protohedge_scalar_greeks,-0.12704778393554716,-0.16599154469294272,0.5845205290061536,1.059570988291844,1.3034089174561956,1.6078066588623305,2.3706614704284976,271.02127962659335,-1.4304567013917429,69.1101900006721
