config,hypo,universe,action_scale,l2,K,cvar_weight,cvar_alpha,residual_l2,vol_floor,features,stress_power,ensemble,val_cvar,val_dv,val_excess,test_cvar,test_dv,test_excess,test_seed_std
H3_K12,H3,spy,1.5,0.001,12,1.0,0.95,0.0,,full,0.0,False,2.4515798041589965,3.6633713267991195,-1.211791522640123,3.7375158137992854,2.8449349042314798,0.8925809095678057,0.20538272214085893
H3_K12,H3,qqq,1.5,0.001,12,1.0,0.95,0.0,,full,0.0,False,3.376260853440422,3.045025529805969,0.33123532363445296,8.337593722882906,6.120349611883338,2.2172441109995678,2.233720823559028
H3_K16,H3,spy,1.5,0.001,16,1.0,0.95,0.0,,full,0.0,False,2.7677342952752,3.6633713267991195,-0.8956370315239193,6.726104547198344,2.8449349042314798,3.881169642966864,0.764555112645408
H3_K16,H3,qqq,1.5,0.001,16,1.0,0.95,0.0,,full,0.0,False,2.8598588628624397,3.045025529805969,-0.18516666694352946,8.68295599545196,6.120349611883338,2.562606383568623,2.021382228111773
H4_rl21.0,H4,spy,1.5,0.001,8,1.0,0.95,1.0,,full,0.0,False,3.7349574686986617,3.6633713267991195,0.07158614189954227,2.3575183023338133,2.8449349042314798,-0.48741660189766645,0.09998876126880366
H4_rl21.0,H4,qqq,1.5,0.001,8,1.0,0.95,1.0,,full,0.0,False,2.6337547523250784,3.045025529805969,-0.4112707774808908,8.006557146901505,6.120349611883338,1.8862075350181673,0.6180643308580598
H4_rl210.0,H4,spy,1.5,0.001,8,1.0,0.95,10.0,,full,0.0,False,2.7617169520326716,3.6633713267991195,-0.9016543747664478,2.253536107647206,2.8449349042314798,-0.591398796584274,0.25363283765549055
H4_rl210.0,H4,qqq,1.5,0.001,8,1.0,0.95,10.0,,full,0.0,False,2.4035434720200795,3.045025529805969,-0.6414820577858897,7.218982882934696,6.120349611883338,1.0986332710513578,0.08693766716955473
H4_rl2100.0,H4,spy,1.5,0.001,8,1.0,0.95,100.0,,full,0.0,False,3.5528620006284606,3.6633713267991195,-0.1105093261706589,2.4867608659323093,2.8449349042314798,-0.3581740382991705,0.034667791886996806
H4_rl2100.0,H4,qqq,1.5,0.001,8,1.0,0.95,100.0,,full,0.0,False,2.629301346088968,3.045025529805969,-0.41572418371700115,6.371010210414202,6.120349611883338,0.25066059853086387,0.003947284871691099
H4_rl21000.0,H4,spy,1.5,0.001,8,1.0,0.95,1000.0,,full,0.0,False,3.6650302862036614,3.6633713267991195,0.0016589594045419709,2.7968956949070694,2.8449349042314798,-0.048039209324410415,0.004363708971726639
H4_rl21000.0,H4,qqq,1.5,0.001,8,1.0,0.95,1000.0,,full,0.0,False,2.9394177515749895,3.045025529805969,-0.10560777823097967,6.149692748876139,6.120349611883338,0.029343136992801,0.01694771808754654
H5_surface_only,H5,spy,1.5,0.001,8,1.0,0.95,0.0,,surface,0.0,False,2.9225878417941,3.6633713267991195,-0.7407834850050197,2.3354429658574056,2.8449349042314798,-0.5094919383740741,0.19712756766518894
H5_surface_only,H5,qqq,1.5,0.001,8,1.0,0.95,0.0,,surface,0.0,False,5.298430803133551,3.045025529805969,2.2534052733275822,5.988058238791127,6.120349611883338,-0.13229137309221084,1.0069230016213448
H5_greeks_only,H5,spy,1.5,0.001,8,1.0,0.95,0.0,,greeks,0.0,False,2.2181714217368307,3.6633713267991195,-1.4451999050622888,2.6108690424860783,2.8449349042314798,-0.23406586174540145,0.3668056230453631
H5_greeks_only,H5,qqq,1.5,0.001,8,1.0,0.95,0.0,,greeks,0.0,False,0.47362170239143,3.045025529805969,-2.571403827414539,7.547787022950235,6.120349611883338,1.4274374110668973,0.981327888942529
C_as0.5_vf0.25_rl20.0_cw1.0,combo,spy,0.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,2.9358797245781454,3.6633713267991195,-0.7274916022209741,2.221717114620693,2.8449349042314798,-0.6232177896107869,0.007439117613724202
C_as0.5_vf0.25_rl20.0_cw1.0,combo,qqq,0.5,0.001,8,1.0,0.95,0.0,0.25,full,0.0,False,1.8273783533743682,3.045025529805969,-1.217647176431601,8.223668682984101,6.120349611883338,2.1033190711007634,0.5349869415283887
