config,hypo,universe,action_scale,l2,K,cvar_weight,cvar_alpha,residual_l2,vol_floor,features,stress_power,ensemble,val_cvar,val_dv,val_excess,test_cvar,test_dv,test_excess,test_seed_std
H1_as1.5_vf0.1,H1,qqq,1.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,1.8066321574709967,3.045025529805969,-1.2383933723349725,8.159857835106495,6.120349611883338,2.039508223223157,0.24359127191697785
H1_as1.5_vf0.1,H1,slv,1.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,-0.006291413451717854,0.006563300201661867,-0.012854713653379722,0.17362683465309867,0.15494845435326088,0.018678380299837788,0.0017672573723465665
H1_as1.5_vf0.1,H1,spx,1.5,0.001,8,1.0,0.95,0.0,0.1,full,0.0,False,41.90792646554383,44.57158548167959,-2.6636590161357603,24.765767340377195,28.96614434411867,-4.200377003741476,0.6353688176500475
H1_l20.01,H1,spy,1.5,0.01,8,1.0,0.95,0.0,,full,0.0,False,3.744318004121738,3.6633713267991195,0.0809466773226184,2.3860049262147305,2.8449349042314798,-0.4589299780167493,0.1069753201893546
H1_l20.01,H1,qqq,1.5,0.01,8,1.0,0.95,0.0,,full,0.0,False,2.3785313921696556,3.045025529805969,-0.6664941376363136,8.731406494701924,6.120349611883338,2.611056882818586,0.29132805042062554
H1_l20.01,H1,slv,1.5,0.01,8,1.0,0.95,0.0,,full,0.0,False,0.021610137101872106,0.006563300201661867,0.015046836900210239,0.1687607409224979,0.15494845435326088,0.013812286569237026,0.022904090493236648
H1_l20.01,H1,spx,1.5,0.01,8,1.0,0.95,0.0,,full,0.0,False,45.648620577008735,44.57158548167959,1.077035095329144,23.8220176988674,28.96614434411867,-5.144126645251273,0.5310896143611213
H1_l20.03,H1,spy,1.5,0.03,8,1.0,0.95,0.0,,full,0.0,False,3.7442680241795956,3.6633713267991195,0.08089669738047611,2.3858692885910115,2.8449349042314798,-0.4590656156404682,0.10695282698770213
H1_l20.03,H1,qqq,1.5,0.03,8,1.0,0.95,0.0,,full,0.0,False,2.3668840556957713,3.045025529805969,-0.6781414741101979,8.65746012407181,6.120349611883338,2.5371105121884714,0.1496667260210846
H1_l20.03,H1,slv,1.5,0.03,8,1.0,0.95,0.0,,full,0.0,False,0.01891733011376616,0.006563300201661867,0.012354029912104292,0.16799145063749876,0.15494845435326088,0.013042996284237884,0.02263375690337204
H1_l20.03,H1,spx,1.5,0.03,8,1.0,0.95,0.0,,full,0.0,False,45.64831195335589,44.57158548167959,1.0767264716763023,23.82191385741665,28.96614434411867,-5.144230486702021,0.5311045986968109
H1_l20.1,H1,spy,1.5,0.1,8,1.0,0.95,0.0,,full,0.0,False,3.7440933649891157,3.6633713267991195,0.08072203818999624,2.385395487064684,2.8449349042314798,-0.4595394171667957,0.10687417213834569
H1_l20.1,H1,qqq,1.5,0.1,8,1.0,0.95,0.0,,full,0.0,False,2.3567896205182577,3.045025529805969,-0.6882359092877115,8.714257110603915,6.120349611883338,2.5939074987205775,0.20102338777030115
H1_l20.1,H1,slv,1.5,0.1,8,1.0,0.95,0.0,,full,0.0,False,0.019481237792734914,0.006563300201661867,0.012917937591073047,0.170359300229353,0.15494845435326088,0.015410845876092122,0.019478010664785224
H1_l20.1,H1,spx,1.5,0.1,8,1.0,0.95,0.0,,full,0.0,False,45.64722002109596,44.57158548167959,1.0756345394163702,23.821547496181413,28.96614434411867,-5.144596847937258,0.5311593217881893
H2_cw1.0_a0.975,H2,spy,1.5,0.001,8,1.0,0.975,0.0,,full,0.0,False,3.6879070516104555,3.6633713267991195,0.024535724811336035,2.3823725983652912,2.8449349042314798,-0.4625623058661885,0.1061723246265686
H2_cw1.0_a0.975,H2,qqq,1.5,0.001,8,1.0,0.975,0.0,,full,0.0,False,1.8426493960187802,3.045025529805969,-1.202376133787189,7.983526093533332,6.120349611883338,1.8631764816499938,0.617735587999318
H2_cw1.0_a0.975,H2,slv,1.5,0.001,8,1.0,0.975,0.0,,full,0.0,False,0.014484894289870473,0.006563300201661867,0.007921594088208606,0.19018460659706413,0.15494845435326088,0.03523615224380325,0.009317636687788448
H2_cw1.0_a0.975,H2,spx,1.5,0.001,8,1.0,0.975,0.0,,full,0.0,False,44.895631552232,44.57158548167959,0.32404607055240575,24.008272669780997,28.96614434411867,-4.9578716743376745,0.4128954340305493
H2_cw1.0_a0.99,H2,spy,1.5,0.001,8,1.0,0.99,0.0,,full,0.0,False,3.6551157607955953,3.6633713267991195,-0.008255566003524173,2.3809068787117558,2.8449349042314798,-0.464028025519724,0.10602919232202263
H2_cw1.0_a0.99,H2,qqq,1.5,0.001,8,1.0,0.99,0.0,,full,0.0,False,1.7630461909987354,3.045025529805969,-1.2819793388072338,8.633718688026368,6.120349611883338,2.5133690761430305,0.5128881841698723
H2_cw1.0_a0.99,H2,slv,1.5,0.001,8,1.0,0.99,0.0,,full,0.0,False,0.05640887014121556,0.006563300201661867,0.04984556993955369,0.23372258970279,0.15494845435326088,0.07877413534952912,0.030408516285722637
H2_cw1.0_a0.99,H2,spx,1.5,0.001,8,1.0,0.99,0.0,,full,0.0,False,44.90238791830897,44.57158548167959,0.3308024366293765,24.25677649825573,28.96614434411867,-4.709367845862943,0.47352304459726163
H2_cw3.0_a0.95,H2,spy,1.5,0.001,8,3.0,0.95,0.0,,full,0.0,False,3.669450518228082,3.6633713267991195,0.006079191428962627,2.377298780853996,2.8449349042314798,-0.46763612337748395,0.10572574892054722
H2_cw3.0_a0.95,H2,qqq,1.5,0.001,8,3.0,0.95,0.0,,full,0.0,False,1.7390404164636248,3.045025529805969,-1.3059851133423444,6.904697682964366,6.120349611883338,0.7843480710810278,0.21631417732520308
H2_cw3.0_a0.95,H2,slv,1.5,0.001,8,3.0,0.95,0.0,,full,0.0,False,0.01197984967137218,0.006563300201661867,0.005416549469710314,0.1934342843091037,0.15494845435326088,0.03848582995584282,0.022177982497067872
H2_cw3.0_a0.95,H2,spx,1.5,0.001,8,3.0,0.95,0.0,,full,0.0,False,44.70273519720461,44.57158548167959,0.13114971552501942,24.081876867549877,28.96614434411867,-4.884267476568795,0.40636578036292187
H2_cw3.0_a0.975,H2,spy,1.5,0.001,8,3.0,0.975,0.0,,full,0.0,False,3.6515326671634587,3.6633713267991195,-0.011838659635660775,2.378427637377383,2.8449349042314798,-0.4665072668540966,0.10582111986810738
H2_cw3.0_a0.975,H2,qqq,1.5,0.001,8,3.0,0.975,0.0,,full,0.0,False,1.6208299548226748,3.045025529805969,-1.4241955749832944,6.099614088335268,6.120349611883338,-0.020735523548069956,0.13392327149355135
H2_cw3.0_a0.975,H2,slv,1.5,0.001,8,3.0,0.975,0.0,,full,0.0,False,0.0049978257018064125,0.006563300201661867,-0.0015654744998554546,0.19615169251597,0.15494845435326088,0.04120323816270913,0.017508818001519183
H2_cw3.0_a0.975,H2,spx,1.5,0.001,8,3.0,0.975,0.0,,full,0.0,False,44.62397627962525,44.57158548167959,0.05239079794566237,24.582245878470257,28.96614434411867,-4.383898465648414,0.8134858138723837
H2_cw3.0_a0.99,H2,spy,1.5,0.001,8,3.0,0.99,0.0,,full,0.0,False,3.6407848150182307,3.6633713267991195,-0.022586511780888774,2.379449548570717,2.8449349042314798,-0.46548535566076277,0.10591133349062241
H2_cw3.0_a0.99,H2,qqq,1.5,0.001,8,3.0,0.99,0.0,,full,0.0,False,1.9375313464669244,3.045025529805969,-1.1074941833390448,6.587264426348091,6.120349611883338,0.46691481446475347,0.19978276166550019
H2_cw3.0_a0.99,H2,slv,1.5,0.001,8,3.0,0.99,0.0,,full,0.0,False,0.03472924276021869,0.006563300201661867,0.028165942558556818,0.22572557803377183,0.15494845435326088,0.07077712368051095,0.02352587630193034
H2_cw3.0_a0.99,H2,spx,1.5,0.001,8,3.0,0.99,0.0,,full,0.0,False,44.34728581607408,44.57158548167959,-0.22429966560551406,24.478500374015827,28.96614434411867,-4.4876439701028445,0.6598874563010011
H2_cw10.0_a0.95,H2,spy,1.5,0.001,8,10.0,0.95,0.0,,full,0.0,False,3.64447998933429,3.6633713267991195,-0.018891337464829405,2.3747198271907632,2.8449349042314798,-0.4702150770407165,0.10552109421633432
H2_cw10.0_a0.95,H2,qqq,1.5,0.001,8,10.0,0.95,0.0,,full,0.0,False,1.6858140717402783,3.045025529805969,-1.3592114580656909,6.062169824219641,6.120349611883338,-0.058179787663696914,0.11420965482141096
H2_cw10.0_a0.95,H2,slv,1.5,0.001,8,10.0,0.95,0.0,,full,0.0,False,0.0025383452272009503,0.006563300201661867,-0.004024954974460917,0.17765904789109288,0.15494845435326088,0.022710593537832002,0.012428976029985526
H2_cw10.0_a0.95,H2,spx,1.5,0.001,8,10.0,0.95,0.0,,full,0.0,False,44.85324457077795,44.57158548167959,0.2816590890983619,24.42664516374802,28.96614434411867,-4.539499180370651,0.6107270212387713
H2_cw10.0_a0.975,H2,spy,1.5,0.001,8,10.0,0.975,0.0,,full,0.0,False,3.6390876864623105,3.6633713267991195,-0.024283640336808965,2.377183674354199,2.8449349042314798,-0.46775122987728057,0.10572095476809631
H2_cw10.0_a0.975,H2,qqq,1.5,0.001,8,10.0,0.975,0.0,,full,0.0,False,1.8317226664655086,3.045025529805969,-1.2133028633404606,5.841190809139324,6.120349611883338,-0.27915880274401417,0.03228601326209856
H2_cw10.0_a0.975,H2,slv,1.5,0.001,8,10.0,0.975,0.0,,full,0.0,False,0.00383193089717467,0.006563300201661867,-0.002731369304487197,0.17747144264473366,0.15494845435326088,0.022522988291472784,0.011030949249266913
H2_cw10.0_a0.975,H2,spx,1.5,0.001,8,10.0,0.975,0.0,,full,0.0,False,44.564185109605,44.57158548167959,-0.007400372074592099,24.608405237477214,28.96614434411867,-4.357739106641457,0.8134628733664124
H2_cw10.0_a0.99,H2,spy,1.5,0.001,8,10.0,0.99,0.0,,full,0.0,False,3.635811031080376,3.6633713267991195,-0.02756029571874352,2.378966453891279,2.8449349042314798,-0.46596845034020085,0.10586989750375982
H2_cw10.0_a0.99,H2,qqq,1.5,0.001,8,10.0,0.99,0.0,,full,0.0,False,2.139042594054025,3.045025529805969,-0.9059829357519442,7.561458477302009,6.120349611883338,1.4411088654186708,0.4874577466623383
H2_cw10.0_a0.99,H2,slv,1.5,0.001,8,10.0,0.99,0.0,,full,0.0,False,0.007162947623015032,0.006563300201661867,0.0005996474213531651,0.19542599822390253,0.15494845435326088,0.04047754387064165,0.008451417118989795
H2_cw10.0_a0.99,H2,spx,1.5,0.001,8,10.0,0.99,0.0,,full,0.0,False,44.46198359043728,44.57158548167959,-0.10960189124231334,24.52924316490207,28.96614434411867,-4.436901179216601,0.7112803366108718
H3_K6,H3,spy,1.5,0.001,6,1.0,0.95,0.0,,full,0.0,False,4.365195118037074,3.6633713267991195,0.7018237912379548,2.2029431723742183,2.8449349042314798,-0.6419917318572614,0.03883366946854673
H3_K6,H3,qqq,1.5,0.001,6,1.0,0.95,0.0,,full,0.0,False,1.909580503338997,3.045025529805969,-1.1354450264669722,6.955808718064039,6.120349611883338,0.8354591061807009,1.640602334083121
H3_K6,H3,slv,1.5,0.001,6,1.0,0.95,0.0,,full,0.0,False,0.20229153925074983,0.006563300201661867,0.19572823904908795,0.22002703808776847,0.15494845435326088,0.06507858373450759,0.04110196195869723
H3_K6,H3,spx,1.5,0.001,6,1.0,0.95,0.0,,full,0.0,False,47.445952319718806,44.57158548167959,2.874366838039215,23.650585865983775,28.96614434411867,-5.315558478134896,0.5142420297578215
H3_K12,H3,spy,1.5,0.001,12,1.0,0.95,0.0,,full,0.0,False,2.4515798041589965,3.6633713267991195,-1.211791522640123,3.7375158137992854,2.8449349042314798,0.8925809095678057,0.20538272214085893
H3_K12,H3,qqq,1.5,0.001,12,1.0,0.95,0.0,,full,0.0,False,3.376260853440422,3.045025529805969,0.33123532363445296,8.337593722882906,6.120349611883338,2.2172441109995678,2.233720823559028
H3_K12,H3,slv,1.5,0.001,12,1.0,0.95,0.0,,full,0.0,False,0.0974486761018397,0.006563300201661867,0.09088537590017784,0.1663908812823369,0.15494845435326088,0.011442426929076016,0.02544739223059958
H3_K12,H3,spx,1.5,0.001,12,1.0,0.95,0.0,,full,0.0,False,19.35359453468954,44.57158548167959,-25.21799094699005,22.191730029567584,28.96614434411867,-6.774414314551088,2.5494628914803865
H3_K16,H3,spy,1.5,0.001,16,1.0,0.95,0.0,,full,0.0,False,2.7677342952752,3.6633713267991195,-0.8956370315239193,6.726104547198344,2.8449349042314798,3.881169642966864,0.764555112645408
H3_K16,H3,qqq,1.5,0.001,16,1.0,0.95,0.0,,full,0.0,False,2.8598588628624397,3.045025529805969,-0.18516666694352946,8.68295599545196,6.120349611883338,2.562606383568623,2.021382228111773
H3_K16,H3,slv,1.5,0.001,16,1.0,0.95,0.0,,full,0.0,False,0.21812267530062576,0.006563300201661867,0.2115593750989639,0.22220196456749455,0.15494845435326088,0.06725351021423367,0.01798248966010466
H3_K16,H3,spx,1.5,0.001,16,1.0,0.95,0.0,,full,0.0,False,26.170478852398833,44.57158548167959,-18.401106629280758,30.049281526642734,28.96614434411867,1.0831371825240623,1.4520138762839392
H4_rl21.0,H4,spy,1.5,0.001,8,1.0,0.95,1.0,,full,0.0,False,3.7349574686986617,3.6633713267991195,0.07158614189954227,2.3575183023338133,2.8449349042314798,-0.48741660189766645,0.09998876126880366
H4_rl21.0,H4,qqq,1.5,0.001,8,1.0,0.95,1.0,,full,0.0,False,2.6337547523250784,3.045025529805969,-0.4112707774808908,8.006557146901505,6.120349611883338,1.8862075350181673,0.6180643308580598
H4_rl21.0,H4,slv,1.5,0.001,8,1.0,0.95,1.0,,full,0.0,False,-0.004161220933510147,0.006563300201661867,-0.010724521135172013,0.16437210727171692,0.15494845435326088,0.009423652918456038,0.004660131781811371
H4_rl21.0,H4,spx,1.5,0.001,8,1.0,0.95,1.0,,full,0.0,False,46.15647942049814,44.57158548167959,1.5848939388185457,24.13904439620433,28.96614434411867,-4.827099947914341,0.5359017922900762
H4_rl210.0,H4,spy,1.5,0.001,8,1.0,0.95,10.0,,full,0.0,False,2.7617169520326716,3.6633713267991195,-0.9016543747664478,2.253536107647206,2.8449349042314798,-0.591398796584274,0.25363283765549055
H4_rl210.0,H4,qqq,1.5,0.001,8,1.0,0.95,10.0,,full,0.0,False,2.4035434720200795,3.045025529805969,-0.6414820577858897,7.218982882934696,6.120349611883338,1.0986332710513578,0.08693766716955473
H4_rl210.0,H4,slv,1.5,0.001,8,1.0,0.95,10.0,,full,0.0,False,-0.0006719502182252136,0.006563300201661867,-0.00723525041988708,0.15678675702622066,0.15494845435326088,0.0018383026729597851,3.905332714041066e-05
