universe,feature_set,n_seeds,cvar95_mean,cvar95_std
spy,greeks_only,3,-2.807397824979746,0.4227258486529715
spy,surface_only,3,-2.402143197651338,0.20430586694706374
spy,full,3,-2.45851652003712,0.1050434996406326
