universe,proto_cvar_mean,proto_cvar_std,delta_vega_cvar,dcvar_vs_dv,ci_low,ci_high,p_boot_vs_dv,p_wilcoxon_vs_dv,mlp_cvar,ppo_cvar,sac_cvar
spy,2.343297329613252,0.10374796169294594,2.8449349042314798,-0.4712570779730081,-0.9331441781653654,0.06391992038786785,0.077,0.00018534243186211165,13.19298494377633,35.73928340634743,89.7331620077361
qqq,5.614693634571417,0.6330787755375075,6.120349611883338,-0.20225732504774374,-0.9610316082103618,0.5061020351706029,0.475,0.5401940887247673,4.633150288642789,78.40537935186308,57.1463967069538
