ablation,cvar_95,cvar_99,mean_pnl
K=4,2.5612,5.0641,0.952
K=8,2.3826,4.3968,0.8627
K=16,6.5449,9.0946,1.9184
K=32,9.5337,16.0954,3.8035
features=greeks_only,2.3559,4.6918,0.8768
features=surface_only,2.3685,4.2395,0.9367
objective=mean_only,87.6249,110.2736,10.4958
no_transaction_costs,2.2119,4.2092,1.0259
