universe,seed,learning_rate,action_scale,val_cvar95,test_cvar95,test_mean
qqq,7,0.0001,0.75,14.412965561434598,20.81885333611325,2.5356307597897425
qqq,7,0.0001,1.5,30.52905144358554,43.44170056680161,4.345323142535895
qqq,7,0.0001,2.5,51.814211847716535,75.1937720210947,6.6935512604076335
qqq,7,0.0003,0.75,25.181343135884173,12.871179003227999,2.8457361969249764
qqq,7,0.0003,1.5,55.619923837297385,23.577870241837523,5.018294863620047
qqq,7,0.0003,2.5,90.9330434120341,36.914933915340725,8.971717247679258
qqq,7,0.001,0.75,20.406306505541654,18.42940737044895,1.4261044649508552
qqq,7,0.001,1.5,43.67568003657908,43.44744823623595,1.6473848723084283
qqq,7,0.001,2.5,61.21389326672079,67.53395311852339,6.064601748297487
qqq,8,0.0001,0.75,10.339340837671363,29.215497527156774,-0.509461359009822
qqq,8,0.0001,1.5,21.087802939866556,57.67832036566429,-1.3291778564645216
qqq,8,0.0001,2.5,35.36740422610387,94.06068466260093,-2.2658653645545432
qqq,8,0.0003,0.75,10.30302298345387,33.22731484385022,-0.26305899845251995
qqq,8,0.0003,1.5,21.515927510090126,68.6071524844884,-1.5906937032934285
qqq,8,0.0003,2.5,28.816890170196586,112.3239447840042,-1.8951944976478179
qqq,8,0.001,0.75,12.193873352652608,25.405050204241864,2.661737989920532
qqq,8,0.001,1.5,27.990090698210498,51.91021771747468,4.923551722310713
qqq,8,0.001,2.5,59.066000888557845,79.34693771143732,2.8287582164513023
qqq,9,0.0001,0.75,22.880780102081463,35.546115037645265,1.1127723160819556
qqq,9,0.0001,1.5,42.92503637671693,63.06126730779032,1.6835739163044274
qqq,9,0.0001,2.5,66.65696082840297,97.85214498707413,2.295124439258455
qqq,9,0.0003,0.75,10.65576775547953,27.6667136808781,0.5884356476619795
qqq,9,0.0003,1.5,26.203102973942055,51.86617078296084,-0.14921759952441954
qqq,9,0.0003,2.5,49.31737934490265,85.78191656140295,-1.1360308955213936
qqq,9,0.001,0.75,14.643842172668696,31.81352540915662,3.0033878223967716
qqq,9,0.001,1.5,17.392716482457065,59.62330584392143,10.707134836047796
qqq,9,0.001,2.5,46.514645818249356,75.47980733462954,16.547811102845714
