universe,downside_kappa,seed,test_cvar95,test_mean
spy,0.0,7,61.35084383874747,-0.08432423040488285
spy,0.0,8,31.742381264194705,3.980215744794289
spy,0.0,9,39.4461937024784,2.693592765704364
spy,10.0,7,31.91443978902466,-0.696821602353764
spy,10.0,8,21.957331805127442,3.2741122184958953
spy,10.0,9,22.675356595210836,1.393876663377668
spy,50.0,7,21.44118574998946,-0.10483918534177228
spy,50.0,8,24.430210578821537,3.288048091146945
spy,50.0,9,18.346000223578436,0.9052350600033748
