,cvar95_mean,cvar95_std
delta,4.7075712363179445,0.0
delta_vega,2.8449349042314798,0.0
blackbox,6.611316016466413,3.926931435514606
prototype,2.3567923996297884,0.1113678662751825
ppo,52.799570888526205,14.585281908219752
