universe,feature_set,seed,mean_pnl,median_pnl,std_pnl,var_95,cvar_95,cvar_99,worst,max_drawdown,utility,turnover
slv,greeks_only,7,0.0870329126638041,0.06674672193579698,0.13728036412516034,0.09626451156169899,0.19668159200221746,0.3496161109943,0.4236856954164294,0.6718229935017419,-0.10964867933841337,39.58010357703982
slv,greeks_only,13,0.08725107366496684,0.06521639400262084,0.13701541058953415,0.08224512183328218,0.19279364481706848,0.3420144588181282,0.39533608181076735,0.6653907596748212,-0.10554257115210164,39.672847894556064
slv,greeks_only,23,0.0871246848154549,0.07606936880256386,0.13738205390644662,0.1097427523631447,0.22383791202046607,0.3665550853708561,0.4416622999058607,0.731612239313078,-0.13671322720501117,40.28859795481331
slv,greeks_only,42,0.08639119499272806,0.07135630062433783,0.14219684651868175,0.0922951643174743,0.22791750075611558,0.43141715263997515,0.5096667483957189,0.7654892684976886,-0.14152630576338754,39.06244175000957
slv,greeks_only,2025,0.08567887848234144,0.07786569995592983,0.13719630113788972,0.11034082036203434,0.22226256163569394,0.3910007497817704,0.4738773100255798,0.7481437633023198,-0.1365836831533525,39.05445055019884
slv,surface_only,7,0.08625842534453626,0.0666247366215529,0.13864509157626598,0.12970464269626727,0.1777351916693105,0.22163131028443672,0.24615255519937793,1.613800231854574,-0.09147676632477425,43.41181826219848
slv,surface_only,13,0.09419632999994798,0.08719596281785089,0.13161722576297025,0.10465674559695301,0.16266331699790007,0.21791895403537087,0.2510275520261485,1.1505981697752183,-0.06846698699795209,41.91967433826379
slv,surface_only,23,0.10345787868342417,0.09606787543453227,0.15587867344881312,0.15060239637365877,0.18496720276222856,0.24020400162592134,0.27699053393448736,1.6400245945324325,-0.08150932407880439,44.06809234294214
slv,surface_only,42,0.11378829562670571,0.14033143050274055,0.15992132199259343,0.15008265881048038,0.186065441384411,0.23305097598020613,0.23442969141619946,1.3005561055083454,-0.07227714575770529,45.18094124712191
slv,surface_only,2025,0.057297380494290055,0.0352194715638119,0.22556837141045202,0.3506185739294829,0.3864135503624572,0.41871731844722115,0.4271771889914849,4.195028097094814,-0.32911616986816716,48.82416898485205
slv,full,7,0.08221968073069831,0.0883051081797065,0.1314687886603103,0.13392731421878054,0.18122487283883004,0.22523877530347347,0.2346317296891632,0.9503780854152737,-0.09900519210813173,41.271274219605466
slv,full,13,0.07665247711860541,0.07266073918427868,0.11854091993193638,0.10519581970989365,0.18907722002006186,0.26572116611381075,0.2749102354273763,0.7983421837015552,-0.11242474290145645,42.89404475402895
slv,full,23,0.09161970664767032,0.07796111140051057,0.12506310775530596,0.08566019243657898,0.1368171387708566,0.2182574566991427,0.23332599584139768,0.5162654405061549,-0.04519743212318629,42.137978298671
slv,full,42,0.07681861610502082,0.0870147960904585,0.1329400383439744,0.1636827911791206,0.2135278628201391,0.27038029131365937,0.2717153940952223,0.6118963194156759,-0.1367092467151183,43.55212328857354
slv,full,2025,0.08125923221046652,0.09753485658383688,0.13453639839662054,0.15804924069282913,0.19159571746558324,0.2372694722847753,0.23745747612689044,1.08319181701874,-0.11033648525511672,41.579836351420674
spx,greeks_only,7,7.957229898317029,8.352055611862548,15.106994977785062,15.011207210772804,28.778100316351885,47.07023503399815,56.409489392330705,325.01582560883253,-20.820870418034858,7361.82438569873
spx,greeks_only,13,7.752937477968416,7.163255560125473,14.833571587432386,14.696728955231297,26.279837851253234,40.706162725122205,52.292198167478105,320.1457355684604,-18.526900373284818,7110.64662951969
spx,greeks_only,23,7.17941734035656,7.309588553228849,13.25420753348653,14.19757758572421,22.571348534038556,36.80292876896327,51.861011167041596,282.92113357285484,-15.391931193681996,7068.876389733758
spx,greeks_only,42,7.502988491984131,7.218507438655617,14.017852834149688,14.960400947204322,26.34715551890627,42.29545094112469,55.53354440795395,322.43548104653496,-18.84416702692214,7513.127108436521
spx,greeks_only,2025,7.489043499152045,7.065667080533547,14.42897796122693,14.893765748394964,27.186202127177165,43.54705976335567,56.96646230820185,323.70219093724654,-19.69715862802512,7484.629694288579
spx,surface_only,7,8.232038510487799,9.038753438813028,14.689969728169334,18.45020727766612,30.047040250976767,42.42478116087343,46.86832147207748,359.4096056113747,-21.815001740488967,8934.029582819921
spx,surface_only,13,8.280354489123717,9.792383081142026,16.570362544111873,19.075577210213073,29.840232116730792,41.11554512722342,44.63322351388099,488.4979986015121,-21.559877627607076,9261.464020922347
spx,surface_only,23,6.1018602584608335,7.770496787912614,15.70615357434532,21.246874798034032,29.910163827428487,45.6247479536265,47.220788328910814,271.64502839696615,-23.808303568967652,9648.79004986152
