seed,delta,delta_vega,blackbox,prototype,ppo
7,4.7075712363179445,2.8449349042314798,13.19298494377633,2.3826231781858898,35.73928340634743
13,4.7075712363179445,2.8449349042314798,2.9802629583987152,2.256791465882735,53.05308371919718
23,4.7075712363179445,2.8449349042314798,5.936755178105801,2.5187833644025224,70.15295884619546
42,4.7075712363179445,2.8449349042314798,4.440088558792485,2.3793894031399647,63.89540336240783
2025,4.7075712363179445,2.8449349042314798,6.506488443258731,2.2463745865378297,41.15712510848313
