method,mean_pnl,median_pnl,std_pnl,var_95,cvar_95,cvar_99,worst,max_drawdown,turnover,utility
unhedged,-0.926,1.4921,12.2549,23.828,28.3553,34.802,38.2384,448.9584,0.0,-29.2813
delta,1.157,1.3544,2.1582,2.9406,4.7076,6.5982,7.011,85.3517,1099.6188,-3.5505
delta_vega,0.9464,1.1103,1.4555,1.6624,2.8449,4.7468,5.9211,45.6365,878.6128,-1.8985
blackbox,3.6471,5.9028,13.4586,24.1977,30.2258,37.8607,38.9318,604.8423,5053.7749,-26.5787
prototype,0.8627,0.9507,1.2978,1.2885,2.3826,4.3968,5.2375,17.6986,927.8586,-1.52
delta_gamma_vega,1.1548519016094172,1.3533022354274975,2.1519897281198412,2.9304352250974017,4.693070885693691,6.578252647208584,6.989549437367002,85.03879394736245,1098.3717791498962,-3.538218984084274
