method,cvar,ci_low,ci_high
unhedged,28.355324325327146,25.257778796811554,30.966184277799492
delta,4.707571195276326,3.4163675659122594,5.6107608471352854
delta_vega,2.8449349800520674,2.023070108884214,3.560712828704856
blackbox,30.225832447052433,26.0005709584538,33.76387998310582
prototype,2.3826236373428626,1.6012024495604924,3.0935784314604273
