universe,feature_set,seed,mean_pnl,median_pnl,std_pnl,var_95,cvar_95,cvar_99,worst,max_drawdown,utility,turnover
spy,greeks_only,7,0.8596975685888125,0.9091068111055622,1.234196621843336,1.0366945581559774,2.138748645420109,4.590640561264468,5.295650489328788,19.348993588871902,-1.2790510768312964,850.9361517270484
spy,greeks_only,13,0.9270219807236766,1.0000050909503868,1.6931106180150464,1.804343304274219,2.948002811467642,4.79782637302714,5.133567749312435,32.86249278807563,-2.020980830743966,612.1498297288913
spy,greeks_only,23,0.9513290278514344,1.0052801856278135,1.629094988062455,1.59203876860696,3.076497547350471,5.292522387225173,6.246785671188616,30.32318406412716,-2.1251685194990366,639.5179052995449
spy,greeks_only,42,0.9243275978313448,1.0384726613645112,1.7239180073667963,1.8387212421764687,2.9492839576929706,4.665792756451783,4.945529863102974,36.77678758470182,-2.024956359861626,606.5268061204924
spy,greeks_only,2025,0.9438006042384076,1.0087610512226308,1.536728798805472,1.445250242600841,2.908176581388993,5.136397162542391,6.118523330838925,28.89161317786412,-1.964375977150585,633.631205030066
spy,surface_only,7,0.9367325394493258,0.9991906501086628,1.4122159016210123,1.6094905326733966,2.3684581074856257,4.239450603240125,5.370492792891159,26.59787720284837,-1.4317255680363,906.0202772670503
spy,surface_only,13,0.9002904312149946,1.05191260831555,1.4286792627481657,1.3645970458788388,2.5586673645797884,4.522748859766434,5.644123544418871,42.33894555836645,-1.6583769333647935,907.8996025821742
spy,surface_only,23,0.979280561306124,1.0261804270639527,1.331931638033699,1.175401733240496,2.079203425506821,4.117429444538472,5.372269368528824,18.09218599642045,-1.099922864200697,919.2316909449468
spy,surface_only,42,1.1152565928167075,1.132105291884053,1.9668267883292336,2.6710772241569662,3.646702066015768,4.527761532987525,4.891647344486078,33.03063323902052,-2.53144547319906,1100.0180263444756
spy,surface_only,2025,1.02269522951691,1.0336837209631264,1.3723810270407848,1.3126447993593104,2.1350068502448507,3.993635997094685,5.36054704862406,11.285536560076338,-1.1123116207279409,922.9368122283798
spy,full,7,0.8626609028978265,0.950683574029596,1.2978193183775657,1.2884833746088922,2.3826231781858898,4.396790302474464,5.237471685569832,17.698613166105332,-1.5199622752880633,927.858612052364
spy,full,13,0.896747263410243,0.9552539525603276,1.3002022798464687,1.1909752233476736,2.256791465882735,4.436633780949302,5.324331249875044,15.36697341930855,-1.360044202472492,951.6014494196468
spy,full,23,0.888718626546916,0.9810974567454332,1.3386689361936113,1.5123911398433,2.5187833644025224,4.363272421263351,5.198354384126773,19.890579790894947,-1.6300647378556063,910.384094437274
spy,full,42,0.9215319245159076,0.9590773608204386,1.3220450681244311,1.2093474663927188,2.3793894031399647,4.488268525130263,5.433214663952372,20.375149120590805,-1.457857478624057,917.2703313775652
spy,full,2025,0.9066152143841872,1.041279962639306,1.3936197187148331,1.3760063055886624,2.2463745865378297,4.209470754566879,5.356933412550375,26.386321850288283,-1.3397593721536425,842.2618452709696
slv,greeks_only,7,0.0870329126638041,0.0667467219357969,0.1372803641251603,0.0962645115616989,0.1966815920022174,0.3496161109943,0.4236856954164294,0.6718229935017419,-0.1096486793384133,39.58010357703982
slv,greeks_only,13,0.0872510736649668,0.0652163940026208,0.1370154105895341,0.0822451218332821,0.1927936448170684,0.3420144588181282,0.3953360818107673,0.6653907596748212,-0.1055425711521016,39.672847894556064
slv,greeks_only,23,0.0871246848154549,0.0760693688025638,0.1373820539064466,0.1097427523631447,0.223837912020466,0.3665550853708561,0.4416622999058607,0.731612239313078,-0.1367132272050111,40.28859795481331
slv,greeks_only,42,0.086391194992728,0.0713563006243378,0.1421968465186817,0.0922951643174743,0.2279175007561155,0.4314171526399751,0.5096667483957189,0.7654892684976886,-0.1415263057633875,39.06244175000957
slv,greeks_only,2025,0.0856788784823414,0.0778656999559298,0.1371963011378897,0.1103408203620343,0.2222625616356939,0.3910007497817704,0.4738773100255798,0.7481437633023198,-0.1365836831533525,39.05445055019884
slv,surface_only,7,0.0862584253445362,0.0666247366215529,0.1386450915762659,0.1297046426962672,0.1777351916693105,0.2216313102844367,0.2461525551993779,1.613800231854574,-0.0914767663247742,43.41181826219848
slv,surface_only,13,0.0941963299999479,0.0871959628178508,0.1316172257629702,0.104656745596953,0.1626633169979,0.2179189540353708,0.2510275520261485,1.1505981697752183,-0.068466986997952,41.91967433826379
slv,surface_only,23,0.1034578786834241,0.0960678754345322,0.1558786734488131,0.1506023963736587,0.1849672027622285,0.2402040016259213,0.2769905339344873,1.6400245945324323,-0.0815093240788043,44.06809234294214
slv,surface_only,42,0.1137882956267057,0.1403314305027405,0.1599213219925934,0.1500826588104803,0.186065441384411,0.2330509759802061,0.2344296914161994,1.3005561055083454,-0.0722771457577052,45.18094124712191
slv,surface_only,2025,0.05729738049429,0.0352194715638119,0.225568371410452,0.3506185739294829,0.3864135503624572,0.4187173184472211,0.4271771889914849,4.195028097094814,-0.3291161698681671,48.82416898485205
