universe,method,mean_pnl,median_pnl,std_pnl,var_95,cvar_95,cvar_99,worst,max_drawdown,utility,turnover
spy,unhedged,-0.9259559565671327,1.4920797041436344,12.254919735422183,23.827982389999285,28.355324342282707,34.80199578945181,38.238393849891395,448.9583477122215,-29.28128029884984,0.0
spy,delta,1.1570279370198422,1.3543919509088482,2.1582152147274054,2.940603352552987,4.7075712363179445,6.598159603633294,7.011027909297374,85.35172144030304,-3.550543299298102,1099.6187742845068
spy,delta_vega,0.946433317952285,1.1102535825199438,1.4554668898659533,1.6624320365406793,2.8449349042314798,4.7467708767600145,5.9210895054023505,45.63649245551079,-1.8985015862791947,878.6127761248745
spy,delta_gamma_vega,1.1548519016094172,1.3533022354274975,2.1519897281198412,2.9304352250974017,4.693070885693691,6.578252647208584,6.989549437367002,85.03879394736245,-3.538218984084274,1098.3717791498962
qqq,unhedged,-2.3215002793605555,2.0412463149300066,13.844066631875146,28.735777213583923,32.63804793514681,38.94663376080491,42.57734805001476,638.8808607027174,-34.959548214507365,0.0
qqq,delta,0.43283557079494145,0.8377975434731978,3.006150204558704,5.320586973626111,9.02536255724072,12.619368056720715,14.243884447854944,189.88807597692085,-8.59252698644578,884.7513412792304
qqq,delta_vega,0.4355721164570579,0.8099203482135237,2.1108909002060035,2.7339253586080106,6.120349611883338,9.796277416278977,11.115000865687147,115.97501523013992,-5.68477749542628,708.9026904920577
qqq,delta_gamma_vega,0.43247184203445166,0.8402892172656924,2.995923498982919,5.304226472571841,8.995553887187427,12.5685455976368,14.170524110659747,189.1830125752311,-8.563082045152974,883.5599606957985
slv,unhedged,0.09445478405906155,0.708139037506335,1.0742589180460282,2.1196642126804655,2.7806953702591897,3.7794229165930364,4.069996566963333,34.39556966297374,-2.686240586200128,0.0
slv,delta,0.1011928080767781,0.10119848155063245,0.1687922749142879,0.15624035666984856,0.22994292996922627,0.37744096576477304,0.38812495437190003,1.696238898333002,-0.12875012189244817,52.4832338231407
slv,delta_vega,0.08982617459238064,0.08015208216983448,0.12308951486149293,0.08899537002634371,0.15494845435326088,0.23629939276210785,0.26094642594980927,0.5065669882687889,-0.06512227976088024,40.868879533460785
slv,delta_gamma_vega,0.09983908886673859,0.0994823792829223,0.1595561156760943,0.145831266769616,0.20694231799655796,0.32558519742616404,0.327518896985859,1.403883675484952,-0.10710322912981937,51.08970001103519
spx,unhedged,-11.812868698772952,17.209846838864678,126.51531911371814,247.99828295108085,301.0464023213426,375.06853717193263,418.26272529160633,4517.200470313325,-312.85927102011556,0.0
spx,delta,8.589111424985145,10.16250580015192,20.802340048917976,32.49239472528538,48.62561834749221,62.45279679876662,68.4830219219098,847.863758059611,-40.03650692250706,11216.37052482508
spx,delta_vega,8.015926636054687,9.258607941940355,14.356862104132116,17.23866868084911,28.96614434411867,46.27420249488241,56.25708576517643,465.7517873883139,-20.950217708063985,8883.18863171434
spx,delta_gamma_vega,8.588005666087124,10.15808201528782,20.796503997386242,32.482214913098055,48.61036529646414,62.43233456558152,68.46194043668392,847.5487598788686,-40.02235963037701,11215.0482930446
