universe,prototype,top_episode_share,stress_episode_share,mean_activation,iv_level,skew,curvature,term_slope,top_year,top_year_count,regime_label
spy,P0,0.5397923875432526,0.07692307692307693,0.44248546088102536,0.1312767724574011,-0.421190472441683,0.9927841730702973,-0.00037701068608223583,2021.0,73.0,"calm/low-vol, high smile curvature"
spy,P1,0.0,0.0,0.0007381134916195224,0.1751114472963924,-0.36457069595773406,0.5598274176394284,0.001660839952221696,,,mid-vol
spy,P2,0.01730103806228374,0.6,0.03799902234155841,0.20595114449162205,-0.43451479297594386,0.5139496139975144,-0.005834408698854003,2022.0,5.0,mid-vol
spy,P3,0.0,0.0,0.0021486309788218147,0.15174962944627138,-0.41989386935270395,0.6907397495049009,-7.3173704615008e-05,,,mid-vol
spy,P4,0.006920415224913495,1.0,0.01579760589655231,0.25054979974312974,-0.4593696364379122,0.2851699418206343,-0.003837850391793847,2020.0,1.0,mid-vol
spy,P5,0.020761245674740483,0.6666666666666666,0.10407530459863884,0.14768049174387268,-0.37613492974894863,0.8856009132967434,0.0005868476722006685,2020.0,2.0,calm/low-vol
spy,P6,0.0,0.0,0.020441826629253212,0.30776431495015083,-0.48405873203030314,0.3480396621872488,-0.025977945534416076,,,"high-vol shock, front-end inversion, left-tail skew steepening"
spy,P7,0.41522491349480967,0.4083333333333333,0.37631403518253054,0.179735011861022,-0.47737835886716995,1.2112389783857593,-0.01637770608038766,2022.0,63.0,"mid-vol, front-end inversion, left-tail skew steepening, high smile curvature"
