universe,test_year,delta,delta_vega,blackbox,prototype,prototype_capped,ppo,n_test,n_train,macro_regime
spy,2014,0.7968634631993244,0.3758875019793812,1.4771007634062,1.1888367371334614,1.1320285224662188,27.425707455179683,83,320,pre-2018 calm/mixed
spy,2015,2.2919978957314786,0.6386194187098162,8.691908188934297,2.420272309339401,1.7222976438152469,27.5062824439418,84,403,pre-2018 calm/mixed
spy,2016,0.9078400412023993,0.7104402628564113,0.0090491276709428,0.3510695080004944,0.0678155512869281,12.524374988413165,84,487,pre-2018 calm/mixed
spy,2017,1.5355276357415035,1.2790414434777628,0.8324748157742782,0.571286104550994,0.6992434186993716,17.207902905744692,83,571,pre-2018 calm/mixed
spy,2018,3.405758949230423,1.574676336067806,2.467912248281965,3.3418398028462164,1.2524095556531645,24.949278659213785,84,654,Volmageddon/Q4 selloff
spy,2019,2.110554216040377,0.5954990027134428,0.8069847444863821,-0.2639807231176471,-0.1273291424957146,29.39446432671923,83,738,low-vol expansion
spy,2020,11.862741309787692,4.121804619582544,64.57798306208417,59.98074683412896,17.959738086031287,81.6218757126592,83,821,COVID vol spike
spy,2021,0.8403435479052852,0.1988676330645575,1.7056340504346772,0.591292227997357,-0.3020350818619844,23.176316092399283,84,904,recovery
spy,2022,6.215345056557644,4.080507480141318,57.92763356530914,3.975081722373394,3.5460690304454507,63.25917992825434,85,988,rate-shock bear market
spy,2023,0.5800019178749669,0.1854382243116344,2.4875442746864835,0.9886145546427508,0.9939545525002346,43.47698644532417,73,1073,normalisation
qqq,2016,0.7300881128276898,0.5140328623135029,25.062570746830687,0.645330801781881,0.8204075702498261,8.414961857682183,84,325,pre-2018 calm/mixed
qqq,2017,1.2971344801649072,0.7902899606956575,0.8545990652104267,0.1428834041831272,1.315500171672919,18.793941046718647,83,409,pre-2018 calm/mixed
qqq,2018,2.604614700346363,1.3257139823571704,7.977103595058272,1.2806848619709377,1.20161224979256,27.305930052017736,84,492,Volmageddon/Q4 selloff
qqq,2019,1.6142962457482255,0.5360389729698305,0.9192505551494848,0.4145528243357824,0.4288515168733518,18.80944579275862,84,576,low-vol expansion
qqq,2020,8.891674386874794,3.3277866209898206,6.002277339423963,3.744506227924753,3.0479762278462124,23.77725179269957,83,660,COVID vol spike
qqq,2021,11.623584608809646,8.49302324295012,68.77248690145429,14.978541200864834,13.715494058383708,94.68782382273804,84,743,recovery
qqq,2022,6.015939934374556,3.973975040757304,17.073126517985,10.306973453975417,3.851594562437745,59.524356041678914,64,827,rate-shock bear market
qqq,2023,1.4802503090606915,0.4055992616144553,2.7681276335786507,4.193571054629975,3.7489458367929904,46.73839631568365,73,891,normalisation
