test_year,delta,delta_vega,blackbox,prototype,prototype_capped,ppo,n_test,n_train
2016,0.7300881128276898,0.5140328623135029,25.062570746830687,0.645330801781881,0.8204075702498261,8.414961857682183,84,325
2017,1.2971344801649072,0.7902899606956575,0.8545990652104267,0.14288340418312728,1.315500171672919,18.793941046718647,83,409
2018,2.604614700346363,1.3257139823571704,7.9771035950582725,1.2806848619709377,1.20161224979256,27.305930052017736,84,492
2019,1.6142962457482255,0.5360389729698305,0.9192505551494847,0.41455282433578244,0.4288515168733518,18.80944579275862,84,576
2020,8.891674386874794,3.3277866209898206,6.002277339423963,3.744506227924753,3.0479762278462124,23.77725179269957,83,660
2021,11.623584608809646,8.49302324295012,68.77248690145429,14.978541200864834,13.715494058383708,94.68782382273803,84,743
2022,6.015939934374556,3.9739750407573036,17.073126517985,10.306973453975417,3.851594562437745,59.524356041678914,64,827
2023,1.4802503090606915,0.4055992616144553,2.7681276335786507,4.193571054629975,3.7489458367929904,46.738396315683644,73,891
